filename,copies,counter,max_retries,priority
年度财务报表.pdf,5,A类柜台,3,
客户合同协议.docx,2,B类柜台,3,
身份证正反面扫描件.pdf,1,A类柜台,5,
银行流水清单.xlsx,10,C类柜台,3,
营业执照复印件.pdf,3,B类柜台,2,
业务办理申请表.doc,1,A类柜台,3,
用户开户资料.pdf,4,D类柜台,3,
产品说明书.docx,25,C类柜台,3,
发票汇总表.pdf,8,B类柜台,4,
员工手册.docx,15,D类柜台,3,
税务登记证明.pdf,2,A类柜台,,
社保缴纳证明.xlsx,6,C类柜台,3,
公司章程.pdf,4,B类柜台,3,
验资报告.docx,3,A类柜台,,
项目合同正本.pdf,12,D类柜台,3,
审计报告.pdf,2,B类柜台,3,
进出口许可证.pdf,1,A类柜台,3,
资质证书复印件.pdf,7,C类柜台,,
采购合同.pdf,3,B类柜台,3,
人事档案目录.xlsx,5,D类柜台,3,
,2,A类柜台,3,
贷款合同.pdf,,B类柜台,3,
抵押协议.pdf,3,,3,
空白票据模板.pdf,-1,A类柜台,3,
违规文件.docx,0,B类柜台,3,
超大打印任务.pdf,99999,C类柜台,3,
未知格式.xyz,2,X类柜台,3,
正常文件后缀测试.pdf,3,A类柜台,,
合法边界1.pdf,1,A类柜台,20,
合法边界2.pdf,9999,D类柜台,0,
高优先级VIP文档.pdf,1,A类柜台,3,1
VIP紧急合同.pdf,2,B类柜台,3,1
特急办理单.pdf,1,C类柜台,3,1
普通排队文件1.pdf,5,D类柜台,3,
普通排队文件2.pdf,3,C类柜台,3,
普通排队文件3.pdf,2,B类柜台,3,
普通排队文件4.pdf,4,A类柜台,3,
